NGO,Counsel,Weight
Association des avocats de la défense de Montréal,Sarah Gorguos,1
Association des avocats de la défense de Montréal,Walid Hijazi,1
Association des avocats de la défense de Montréal-Laval-Longueil,Alexandra Belley-McKinnon,1
Association des avocats de la défense de Montréal-Laval-Longueil,Geoffrey Huet,1
Association des avocats de la défense de Montréal-Laval-Longueil,Molly Krishtalka,1
Association des avocats de la défense de Montréal-Laval-Longueuil,Anne-Marie Boisvert,1
Association des avocats de la défense de Montréal-Laval-Longueuil,Ariane Bergeron-St-Onge,1
Association des avocats de la défense de Montréal-Laval-Longueuil,Jean-Philippe Marcoux,2
Association des avocats de la défense de Montréal-Laval-Longueuil,Jean-Sébastien St-Amand,1
Association des avocats de la défense de Montréal-Laval-Longueuil,Julia Blais-Quintal,1
Association des avocats de la défense de Montréal-Laval-Longueuil,Juliette Vani,1
Association des avocats de la défense de Montréal-Laval-Longueuil,Maude Pagé-Arpin,1
Association des avocats de la défense de Montréal-Laval-Longueuil,Vincent R. Paquet,1
Association des avocats de la défense de Montréal-Laval-Longueuil,Walid Hijazi,2
Association des avocats.es carcéralistes du Québec,André Lespérance,1
Association des avocats.es carcéralistes du Québec,Louis-Alexandre Hébert-Gosselin,1
"Association des cadres des collèges du Québec, Association des cadres municipaux de Montréal, Association des conseillers en gestion des ressources humaines du gouvernement du Québec, Association des cadres scolaires du grand Montréal",Guillaume Grenier,1
"Association des cadres des collèges du Québec, Association des cadres municipaux de Montréal, Association des conseillers en gestion des ressources humaines du gouvernement du Québec, Association des cadres scolaires du grand Montréal",Michel Gilbert,1
"Association des cadres des collèges du Québec, Association des cadres municipaux de Montréal, Association des conseillers en gestion des ressources humaines du gouvernement du Québec, Association des cadres scolaires du grand Montréal",Pierre Brun,1
"Association des cadres supérieurs de la santé et des services sociaux, Association des directeurs et directrices de succursale de la société des alcools du Québec, Association professionnelle des cadres de premier niveau d’Hydro-Québec",Guillaume Grenier,1
"Association des cadres supérieurs de la santé et des services sociaux, Association des directeurs et directrices de succursale de la société des alcools du Québec, Association professionnelle des cadres de premier niveau d’Hydro-Québec",Michel Gilbert,1
"Association des cadres supérieurs de la santé et des services sociaux, Association des directeurs et directrices de succursale de la société des alcools du Québec, Association professionnelle des cadres de premier niveau d’Hydro-Québec",Pierre Brun,1
Association des juristes d'expression française de l'Ontario,François Larocque,1
